Area_Name,Count,Lat,Lon
Central,48723,34.0375,-118.3506
Southwest,43902,34.0444,-118.2628
77th Street,43404,34.021,-118.3002
Pacific,38388,34.1576,-118.4387
Hollywood,36873,34.0944,-118.3277
Southeast,34936,33.9467,-118.2463
Olympic,34356,33.9911,-118.2521
Wilshire,33293,34.2336,-118.4535
N Hollywood,32892,34.0868,-118.2991
Newton,31914,34.1939,-118.4859
Topanga,31552,34.0677,-118.552
Rampart,31420,34.0433,-118.2892
West LA,31368,34.082,-118.213
Van Nuys,31064,34.1938,-118.5906
West Valley,28975,34.1084,-118.2639
Northeast,27517,33.9785,-118.3068
Mission,27243,34.0022,-118.4255
Devonshire,27065,34.174,-118.3638
Harbor,25742,33.7234,-118.2968
Foothill,22908,34.2713,-118.415
Hollenbeck,22662,34.2648,-118.5055
